img_name,dominant_color,secondary_color,ratio_1,ratio_2
QQ截图20210720200443.jpg,[50 50 52],[240 239 238],0.0624,0.0904
test1.jpg,[50 50 52],[240 239 238],0.0942,0.0932
test2.jpg,[50 50 52],[240 239 238],0.1486,0.049
